sentiment,mean_pnl,std_pnl,worst_pnl,sharpe,calmar
Extreme Fear,57.128959905631255,186.00825949168103,-140.76689048,0.30713130729652505,0.40584088851022987
Fear,66.54759919848482,191.67289904061846,-140.76689048,0.3471935757823663,0.47275036744146226
Neutral,54.91971189249177,175.88568679299246,-140.76689048,0.312246623894582,0.39014651602256256
Greed,59.250372707330676,180.3457545010491,-140.76689048,0.3285376629533356,0.4209112846413837
Extreme Greed,73.8791512075134,193.70735778780335,-140.76689048,0.3813956891015172,0.5248332967721926
