sentiment,trade_count,mean_pnl,median_pnl,total_pnl,win_rate,pnl_std,mean_size_usd,liq_rate,mean_fee,sharpe_proxy
Extreme Fear,10406,57.128959905631255,6.38805,594483.9567779988,0.7621564482029598,186.00825949168103,5467.570418989045,0.0,1.175306679704017,0.30713130729652505
Fear,29808,66.54759919848482,6.3504830000000005,1983650.8369084354,0.8728864734299517,191.67289904061846,8041.140445182501,0.0,1.576731610305958,0.3471935757823663
Neutral,18159,54.91971189249177,4.583458,997287.048255758,0.8238889806707418,175.88568679299246,5556.444833415937,0.0,1.2259865053692385,0.312246623894582
Greed,25176,59.250372707330676,4.9276,1491687.383279757,0.7689068954559898,180.3457545010491,5438.671763981571,3.972036860502066e-05,1.1788086678582776,0.3285376629533356
Extreme Greed,20853,73.8791512075134,8.53074,1540601.9401302768,0.8916702632714717,193.70735778780335,2779.563632091306,0.0,0.6553427589315686,0.3813956891015172
